                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94437,                 2.5231,                0.46153,                0.71673,                 1.2176,                0.25651,                0.34211,                0.15747,                0.11332,                0.17146,                0.26316,                0.07007,                 0.0171,                 1.2881,                 3.7543,                0.31176,                 3.0352,                 1.6864,              0.0019347,              0.0019347,              0.0019347
                     35,                0.97685,                 2.2077,                0.49659,                0.70204,                  1.248,                0.50195,                0.65789,                0.55882,                0.38457,                0.28797,                0.21053,                0.09576,                0.05743,                 1.3293,                 4.2036,                0.42525,                 1.7336,                 1.8761,              0.0019327,              0.0019327,              0.0019327
                     36,                0.98507,                 2.0151,                0.49395,                0.66983,                 1.2277,                0.94482,                0.90133,                0.96263,                0.68529,                0.33066,                 0.3641,                0.13381,                0.09436,                0.95236,                 3.1305,                0.28304,                0.92612,                 1.4209,              0.0019307,              0.0019307,              0.0019307
                     37,                0.96288,                 2.4386,                0.47797,                0.64757,                  1.209,                0.98577,                0.84211,                0.92969,                0.65949,                0.57234,                0.49321,                0.33575,                0.26428,                0.92386,                 2.0485,                 0.2367,                 1.2855,                 1.4096,              0.0019287,              0.0019287,              0.0019287
                     38,                0.96684,                 2.0089,                0.47713,                0.66507,                 1.2053,                0.99187,                0.92105,                0.97945,                0.75927,                0.34456,                0.34211,                0.14549,                0.10216,                0.79223,                  3.036,                0.25334,                0.71674,                 1.1665,              0.0019267,              0.0019267,              0.0019267
                     39,                0.92125,                 2.3958,                0.48217,                0.66724,                 1.1751,                0.97335,                0.96129,                0.99188,                0.78087,                0.52363,                0.55263,                0.50046,                0.41235,                0.74131,                 2.2197,                0.19006,                0.68948,                 1.1736,              0.0019248,              0.0019248,              0.0019248
                     40,                0.95169,                 2.1402,                0.46633,                0.65783,                 1.1991,                0.93165,                0.97368,                0.97345,                0.70576,                0.63617,                0.26316,                0.23061,                0.20117,                0.95236,                 3.0974,                0.15978,                0.81018,                 1.2183,              0.0019228,              0.0019228,              0.0019228
                     41,                0.92755,                 2.2816,                0.47423,                0.66688,                 1.1928,                0.97883,                0.92105,                0.98865,                0.80461,                0.86906,                0.39474,                0.50527,                0.31948,                0.75753,                 2.1626,                0.15841,                0.95035,                 1.1986,              0.0019208,              0.0019208,              0.0019208
                     42,                 1.0024,                 2.0647,                0.48694,                0.66817,                 1.2381,                0.99623,                      1,                  0.995,                 0.7424,                0.54937,                0.55263,                0.41964,                0.25155,                0.78179,                 2.2786,                 0.1275,                0.63309,                 1.2163,              0.0019188,              0.0019188,              0.0019188
                     43,                0.95797,                 2.1191,                0.44159,                 0.6353,                 1.1743,                0.97433,                 0.9987,                0.99449,                0.82943,                0.53591,                0.55263,                0.47119,                0.38741,                0.73111,                 2.0073,                0.13997,                0.57987,                 1.1537,              0.0019168,              0.0019168,              0.0019168
